2025-07-08 09:57:04 | ERROR | PID:7 | Could not import worker module url_rewriter_para_response_worker: No module named 'app.workers.core.article_innovator_api_call.api_client.api_client'; 'app.workers.core.article_innovator_api_call.api_client' is not a package
2025-07-08 09:57:04 | ERROR | PID:7 | Could not import worker module url_rewriter_para_request_worker: No module named 'app.workers.core.article_innovator_api_call.api_client.api_client'; 'app.workers.core.article_innovator_api_call.api_client' is not a package
2025-07-08 10:00:23 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:01:16 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:19:06 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:19:10 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:19:24 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:28:58 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:29:02 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:34:25 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:34:28 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:44:39 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:53:44 | ERROR | PID:8 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:54:06 | ERROR | PID:8 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:56:30 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 10:58:39 | ERROR | PID:7 | Error in create_queue: ConnectionClosedByBroker: (403) 'ACCESS_REFUSED - Login was refused using authentication mechanism PLAIN. For details see the broker logfile.'
2025-07-08 11:13:17 | INFO | PID:8 | Queue 'article-request-queue' created successfully
2025-07-08 11:14:22 | INFO | PID:8 | Queue 'article-response-queue' created successfully
2025-07-08 11:35:29 | ERROR | PID:8 | Could not import worker module url_rewriter_para_response_worker: No module named 'app.workers.core.article_innovator_api_call.api_client.api_client'; 'app.workers.core.article_innovator_api_call.api_client' is not a package
2025-07-08 11:35:29 | ERROR | PID:8 | Could not import worker module url_rewriter_para_request_worker: No module named 'app.workers.core.article_innovator_api_call.api_client.api_client'; 'app.workers.core.article_innovator_api_call.api_client' is not a package
2025-07-09 02:48:14 | ERROR | PID:8 | Could not import worker module url_rewriter_para_response_worker: No module named 'app.workers.core.article_innovator_api_call.api_client.api_client'; 'app.workers.core.article_innovator_api_call.api_client' is not a package
2025-07-09 02:48:14 | ERROR | PID:8 | Could not import worker module url_rewriter_para_request_worker: No module named 'app.workers.core.article_innovator_api_call.api_client.api_client'; 'app.workers.core.article_innovator_api_call.api_client' is not a package
2025-07-09 02:48:22 | ERROR | PID:8 | Could not import worker module url_rewriter_para_response_worker: No module named 'app.workers.core.article_innovator_api_call.api_client.api_client'; 'app.workers.core.article_innovator_api_call.api_client' is not a package
